,est-xch-std,trg-xch-std,err-xch-std,mse,mae,corr,rpe,fvu,est-xch-std_ch0,est-xch-std_ch1,est-xch-std_ch2,est-xch-std_ch3,est-xch-std_ch4,est-xch-std_ch5,est-xch-std_ch6,est-xch-std_ch7,est-xch-std_ch8,est-xch-std_ch9,est-xch-std_ch10,est-xch-std_ch11,est-xch-std_ch12,est-xch-std_ch13,est-xch-std_ch14,est-xch-std_ch15,est-xch-std_ch16,est-xch-std_ch17,est-xch-std_ch18,est-xch-std_ch19,est-xch-std_ch20,est-xch-std_ch21,est-xch-std_ch22,est-xch-std_ch23,est-xch-std_ch24,est-xch-std_ch25,est-xch-std_ch26,est-xch-std_ch27,est-xch-std_ch28,est-xch-std_ch29,est-xch-std_ch30,est-xch-std_ch31,est-xch-std_ch32,est-xch-std_ch33,est-xch-std_ch34,est-xch-std_ch35,est-xch-std_ch36,est-xch-std_ch37,est-xch-std_ch38,est-xch-std_ch39,est-xch-std_ch40,trg-xch-std_ch0,trg-xch-std_ch1,trg-xch-std_ch2,trg-xch-std_ch3,trg-xch-std_ch4,trg-xch-std_ch5,trg-xch-std_ch6,trg-xch-std_ch7,trg-xch-std_ch8,trg-xch-std_ch9,trg-xch-std_ch10,trg-xch-std_ch11,trg-xch-std_ch12,trg-xch-std_ch13,trg-xch-std_ch14,trg-xch-std_ch15,trg-xch-std_ch16,trg-xch-std_ch17,trg-xch-std_ch18,trg-xch-std_ch19,trg-xch-std_ch20,trg-xch-std_ch21,trg-xch-std_ch22,trg-xch-std_ch23,trg-xch-std_ch24,trg-xch-std_ch25,trg-xch-std_ch26,trg-xch-std_ch27,trg-xch-std_ch28,trg-xch-std_ch29,trg-xch-std_ch30,trg-xch-std_ch31,trg-xch-std_ch32,trg-xch-std_ch33,trg-xch-std_ch34,trg-xch-std_ch35,trg-xch-std_ch36,trg-xch-std_ch37,trg-xch-std_ch38,trg-xch-std_ch39,trg-xch-std_ch40,err-xch-std_ch0,err-xch-std_ch1,err-xch-std_ch2,err-xch-std_ch3,err-xch-std_ch4,err-xch-std_ch5,err-xch-std_ch6,err-xch-std_ch7,err-xch-std_ch8,err-xch-std_ch9,err-xch-std_ch10,err-xch-std_ch11,err-xch-std_ch12,err-xch-std_ch13,err-xch-std_ch14,err-xch-std_ch15,err-xch-std_ch16,err-xch-std_ch17,err-xch-std_ch18,err-xch-std_ch19,err-xch-std_ch20,err-xch-std_ch21,err-xch-std_ch22,err-xch-std_ch23,err-xch-std_ch24,err-xch-std_ch25,err-xch-std_ch26,err-xch-std_ch27,err-xch-std_ch28,err-xch-std_ch29,err-xch-std_ch30,err-xch-std_ch31,err-xch-std_ch32,err-xch-std_ch33,err-xch-std_ch34,err-xch-std_ch35,err-xch-std_ch36,err-xch-std_ch37,err-xch-std_ch38,err-xch-std_ch39,err-xch-std_ch40,mse_ch0,mse_ch1,mse_ch2,mse_ch3,mse_ch4,mse_ch5,mse_ch6,mse_ch7,mse_ch8,mse_ch9,mse_ch10,mse_ch11,mse_ch12,mse_ch13,mse_ch14,mse_ch15,mse_ch16,mse_ch17,mse_ch18,mse_ch19,mse_ch20,mse_ch21,mse_ch22,mse_ch23,mse_ch24,mse_ch25,mse_ch26,mse_ch27,mse_ch28,mse_ch29,mse_ch30,mse_ch31,mse_ch32,mse_ch33,mse_ch34,mse_ch35,mse_ch36,mse_ch37,mse_ch38,mse_ch39,mse_ch40,mae_ch0,mae_ch1,mae_ch2,mae_ch3,mae_ch4,mae_ch5,mae_ch6,mae_ch7,mae_ch8,mae_ch9,mae_ch10,mae_ch11,mae_ch12,mae_ch13,mae_ch14,mae_ch15,mae_ch16,mae_ch17,mae_ch18,mae_ch19,mae_ch20,mae_ch21,mae_ch22,mae_ch23,mae_ch24,mae_ch25,mae_ch26,mae_ch27,mae_ch28,mae_ch29,mae_ch30,mae_ch31,mae_ch32,mae_ch33,mae_ch34,mae_ch35,mae_ch36,mae_ch37,mae_ch38,mae_ch39,mae_ch40,corr_ch0,corr_ch1,corr_ch2,corr_ch3,corr_ch4,corr_ch5,corr_ch6,corr_ch7,corr_ch8,corr_ch9,corr_ch10,corr_ch11,corr_ch12,corr_ch13,corr_ch14,corr_ch15,corr_ch16,corr_ch17,corr_ch18,corr_ch19,corr_ch20,corr_ch21,corr_ch22,corr_ch23,corr_ch24,corr_ch25,corr_ch26,corr_ch27,corr_ch28,corr_ch29,corr_ch30,corr_ch31,corr_ch32,corr_ch33,corr_ch34,corr_ch35,corr_ch36,corr_ch37,corr_ch38,corr_ch39,corr_ch40,rpe_ch0,rpe_ch1,rpe_ch2,rpe_ch3,rpe_ch4,rpe_ch5,rpe_ch6,rpe_ch7,rpe_ch8,rpe_ch9,rpe_ch10,rpe_ch11,rpe_ch12,rpe_ch13,rpe_ch14,rpe_ch15,rpe_ch16,rpe_ch17,rpe_ch18,rpe_ch19,rpe_ch20,rpe_ch21,rpe_ch22,rpe_ch23,rpe_ch24,rpe_ch25,rpe_ch26,rpe_ch27,rpe_ch28,rpe_ch29,rpe_ch30,rpe_ch31,rpe_ch32,rpe_ch33,rpe_ch34,rpe_ch35,rpe_ch36,rpe_ch37,rpe_ch38,rpe_ch39,rpe_ch40,fvu_ch0,fvu_ch1,fvu_ch2,fvu_ch3,fvu_ch4,fvu_ch5,fvu_ch6,fvu_ch7,fvu_ch8,fvu_ch9,fvu_ch10,fvu_ch11,fvu_ch12,fvu_ch13,fvu_ch14,fvu_ch15,fvu_ch16,fvu_ch17,fvu_ch18,fvu_ch19,fvu_ch20,fvu_ch21,fvu_ch22,fvu_ch23,fvu_ch24,fvu_ch25,fvu_ch26,fvu_ch27,fvu_ch28,fvu_ch29,fvu_ch30,fvu_ch31,fvu_ch32,fvu_ch33,fvu_ch34,fvu_ch35,fvu_ch36,fvu_ch37,fvu_ch38,fvu_ch39,fvu_ch40,bw_ch0,bw_ch1,bw_ch2,bw_ch3,bw_ch4,bw_ch5,bw_ch6,bw_ch7,bw_ch8,bw_ch9,bw_ch10,bw_ch11,bw_ch12,bw_ch13,bw_ch14,bw_ch15,bw_ch16,bw_ch17,bw_ch18,bw_ch19,bw_ch20,bw_ch21,bw_ch22,bw_ch23,bw_ch24,bw_ch25,bw_ch26,bw_ch27,bw_ch28,bw_ch29,bw_ch30,bw_ch31,bw_ch32,bw_ch33,bw_ch34,bw_ch35,bw_ch36,bw_ch37,bw_ch38,bw_ch39,bw_ch40,bw_meanch
count,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0,54292.0
mean,0.24733662605285645,0.3949801027774811,0.31314411759376526,0.11727944761514664,0.25504225492477417,0.9384387731552124,0.33987048268318176,0.1201048195362091,0.40899136662483215,0.14376816153526306,0.21135449409484863,0.15232731401920319,0.12249097973108292,0.32685115933418274,0.41922199726104736,0.15738290548324585,0.08563004434108734,0.2281789779663086,0.35796093940734863,0.16849839687347412,0.19066134095191956,0.22723345458507538,0.4174090623855591,0.14544618129730225,0.140321746468544,0.09089036285877228,0.25713050365448,0.11442108452320099,0.2535516917705536,0.1557832658290863,0.12575355172157288,0.11941511929035187,0.12191520631313324,0.13996894657611847,0.15712545812129974,0.27963098883628845,0.2601165473461151,0.4216073453426361,0.1256987452507019,0.1405814290046692,0.4458591043949127,0.1990210860967636,0.13750886917114258,0.30251774191856384,0.28740155696868896,0.1852709800004959,0.19569063186645508,0.4295870363712311,0.15503433346748352,0.544721782207489,0.3948763906955719,0.5234490633010864,0.24097312986850739,0.23330603539943695,0.4481220543384552,0.6193137168884277,0.2754221260547638,0.24505041539669037,0.45913392305374146,0.41544288396835327,0.4795185923576355,0.28241297602653503,0.32603171467781067,0.4452987313270569,0.23419280350208282,0.251778781414032,0.26169341802597046,0.33998897671699524,0.22026853263378143,0.4103945195674896,0.3942134380340576,0.213857039809227,0.2249012291431427,0.3271494209766388,0.27818363904953003,0.23533278703689575,0.3619533181190491,0.39058923721313477,0.5711239576339722,0.2531123757362366,0.24757255613803864,0.6013516783714294,0.3636239767074585,0.25995880365371704,0.33713391423225403,0.35954001545906067,0.47679227590560913,0.41887664794921875,0.508488655090332,0.3005622923374176,0.3132205605506897,0.37932491302490234,0.415060818195343,0.22459974884986877,0.20950593054294586,0.26648324728012085,0.4002092778682709,0.3071884512901306,0.27164900302886963,0.3394869863986969,0.4327457547187805,0.41683706641197205,0.19357532262802124,0.2736220955848694,0.30961471796035767,0.20511135458946228,0.24866236746311188,0.2585589289665222,0.21605752408504486,0.18128158152103424,0.3202614188194275,0.3171078860759735,0.2029990702867508,0.20567722618579865,0.33558163046836853,0.22628413140773773,0.22159405052661896,0.34391728043556213,0.29731959104537964,0.3369280993938446,0.25309133529663086,0.210564985871315,0.34250155091285706,0.3116627335548401,0.21819913387298584,0.3184601366519928,0.33371803164482117,0.3958696722984314,0.3266415596008301,0.32874637842178345,0.2436114400625229,0.12348205596208572,0.17555522918701172,0.21509230136871338,0.06904564052820206,0.0658685639500618,0.09391626715660095,0.18625660240650177,0.12291261553764343,0.11081089079380035,0.14099782705307007,0.2250516414642334,0.22023048996925354,0.05682167038321495,0.10808921605348587,0.11980993300676346,0.06368770450353622,0.07808861136436462,0.08747155219316483,0.06894230842590332,0.048004768788814545,0.14230957627296448,0.1352877914905548,0.06607561558485031,0.06324947625398636,0.17195770144462585,0.07291357964277267,0.06017545610666275,0.1393723040819168,0.11736588925123215,0.13869547843933105,0.09182419627904892,0.0638628900051117,0.13864107429981232,0.13448043167591095,0.06984923779964447,0.13314315676689148,0.13476848602294922,0.19417111575603485,0.1331150382757187,0.13489177823066711,0.09217134118080139,0.2672014534473419,0.31828469038009644,0.34470516443252563,0.20125073194503784,0.1986749768257141,0.23300595581531525,0.32963573932647705,0.2689075767993927,0.25662556290626526,0.28411048650741577,0.3727555274963379,0.35271307826042175,0.183418408036232,0.249381884932518,0.269044429063797,0.1952143907546997,0.21300829946994781,0.22286206483840942,0.2007720172405243,0.16802401840686798,0.28415530920028687,0.26852133870124817,0.19845905900001526,0.19417525827884674,0.2951624095439911,0.20742252469062805,0.18896102905273438,0.2885773181915283,0.2645327150821686,0.2836380898952484,0.22352026402950287,0.19368106126785278,0.2859964966773987,0.27574580907821655,0.20217622816562653,0.2796328663825989,0.2836571931838989,0.3304620683193207,0.27086302638053894,0.284353107213974,0.22344328463077545,0.9379908442497253,0.904992938041687,0.8829386234283447,0.964920163154602,0.9665865898132324,0.952751874923706,0.902453601360321,0.9356542229652405,0.9450318217277527,0.9257587790489197,0.8957017064094543,0.879851222038269,0.9718273878097534,0.9458630084991455,0.9400777220726013,0.967771589756012,0.9596444964408875,0.9547112584114075,0.9656664133071899,0.9760241508483887,0.9244864583015442,0.9277974963188171,0.9663302898406982,0.967620313167572,0.9080352783203125,0.9627376794815063,0.9694660305976868,0.9294411540031433,0.9409114718437195,0.9291767477989197,0.9520105719566345,0.9677104353904724,0.9282554984092712,0.928684413433075,0.9644535779953003,0.9314281344413757,0.9300921559333801,0.8941835761070251,0.92909175157547,0.9312203526496887,0.9516786932945251,0.34147757291793823,0.4007056653499603,0.4359506070613861,0.25423648953437805,0.25047123432159424,0.2975803017616272,0.4220365285873413,0.3385085463523865,0.324183851480484,0.3591167628765106,0.46841365098953247,0.44468244910240173,0.23175382614135742,0.31435590982437134,0.33998656272888184,0.24639199674129486,0.2679477334022522,0.28121253848075867,0.2545209527015686,0.2124294489622116,0.35773763060569763,0.338694304227829,0.2497694045305252,0.24443459510803223,0.3718423545360565,0.2621828317642212,0.2382824718952179,0.363155335187912,0.3338641822338104,0.36253905296325684,0.28173622488975525,0.24464672803878784,0.36405545473098755,0.34739044308662415,0.25515538454055786,0.3536469042301178,0.3570387363433838,0.4170399606227875,0.34339597821235657,0.35987210273742676,0.2816080152988434,0.1267271786928177,0.18032565712928772,0.22086955606937408,0.07062593847513199,0.067469023168087,0.09656068682670593,0.19133131206035614,0.12582135200500488,0.11346766352653503,0.144293874502182,0.2306494265794754,0.22622379660606384,0.05814061686396599,0.1107085645198822,0.12299278378486633,0.06516951322555542,0.07986131310462952,0.08956669270992279,0.07071798294782639,0.04905596375465393,0.14579442143440247,0.13889023661613464,0.06766891479492188,0.06481316685676575,0.17603658139705658,0.07459511607885361,0.061633482575416565,0.14264541864395142,0.12028264999389648,0.14256465435028076,0.09391336143016815,0.06537924706935883,0.1425163447856903,0.13807861506938934,0.07133695483207703,0.1364516019821167,0.1380932331085205,0.19888342916965485,0.13661476969718933,0.1383143812417984,0.09443283081054688,74.46935091726222,75.86154497900243,71.7772415825536,88.93207102335519,89.95984675458631,79.46189125469682,67.44059898327562,82.58187209902012,85.37795623664628,77.79718927282104,74.34714138362926,70.9698482280999,90.0229315552936,84.51549031164812,78.16639652250792,89.63042437191483,87.76007514919326,84.92881087453031,85.94406174021955,91.35572460030944,79.76700066308112,80.49841597288734,91.12171222279525,90.57080232815147,79.27134752818095,87.01014882487291,90.40263758933176,80.8900022102704,79.26711117660061,73.10193030280705,86.102372356885,88.81713696308849,72.00978044647462,80.46130184925956,87.89278346717748,80.02403669048847,80.17884771237014,71.16610181978929,76.8237493553378,73.98511751270905,86.63781035880056,99.85071465409268
std,0.05718344449996948,0.08893482387065887,0.06516066193580627,0.04703807458281517,0.05141427367925644,0.026331663131713867,0.06777133047580719,0.048361167311668396,0.12932631373405457,0.04329049214720726,0.061291176825761795,0.03723511844873428,0.03118838369846344,0.10546145588159561,0.12619788944721222,0.04176649451255798,0.011748355813324451,0.07045939564704895,0.0639646053314209,0.04534958675503731,0.058629389852285385,0.06804880499839783,0.12365226447582245,0.029652539640665054,0.03200690075755119,0.010301683098077774,0.0804385095834732,0.02513374760746956,0.07196714729070663,0.049195386469364166,0.020806722342967987,0.025987403467297554,0.018996896222233772,0.034491389989852905,0.028766900300979614,0.08041124790906906,0.0821843072772026,0.1319534331560135,0.032447051256895065,0.03162159398198128,0.13268513977527618,0.06060097739100456,0.026846053078770638,0.09915097802877426,0.08587304502725601,0.05399199202656746,0.058080948889255524,0.13411295413970947,0.041343122720718384,0.18157272040843964,0.14272400736808777,0.21104377508163452,0.08124469965696335,0.07387769967317581,0.14580631256103516,0.1994362771511078,0.12668584287166595,0.09709885716438293,0.15170453488826752,0.220627099275589,0.20894062519073486,0.0931629166007042,0.14491409063339233,0.16879869997501373,0.07684606313705444,0.08351920545101166,0.10491225868463516,0.11172788590192795,0.06815953552722931,0.15572099387645721,0.1623697429895401,0.0606626532971859,0.06814373284578323,0.19240181148052216,0.09237328916788101,0.07055242359638214,0.16842816770076752,0.124174565076828,0.19110839068889618,0.1033867821097374,0.08184536546468735,0.1633162945508957,0.18034467101097107,0.0880741998553276,0.17675921320915222,0.18648675084114075,0.18928119540214539,0.16303709149360657,0.1861076056957245,0.11615422368049622,0.09967273473739624,0.14019209146499634,0.18419918417930603,0.07203800231218338,0.06442528963088989,0.08745703846216202,0.11652148514986038,0.10548238456249237,0.09752684086561203,0.1261904090642929,0.11350642144680023,0.17730551958084106,0.06164548173546791,0.11224406212568283,0.08471192419528961,0.06229031831026077,0.09113337099552155,0.10376175493001938,0.07169179618358612,0.056070830672979355,0.140338733792305,0.1593254804611206,0.06793086975812912,0.06818382441997528,0.20666268467903137,0.07551426440477371,0.06801477819681168,0.10650842636823654,0.09273862838745117,0.10493744164705276,0.11998221278190613,0.06804145872592926,0.0989399403333664,0.13759207725524902,0.07954683154821396,0.10892192274332047,0.10313259065151215,0.16458916664123535,0.14334119856357574,0.09305515885353088,0.1229536384344101,0.07659963518381119,0.12579497694969177,0.17720766365528107,0.046187903732061386,0.03748881071805954,0.05973497033119202,0.10373925417661667,0.07940490543842316,0.068662129342556,0.10251834243535995,0.1132940724492073,0.16757163405418396,0.034352753311395645,0.07883819937705994,0.062477752566337585,0.03774182125926018,0.05417903885245323,0.07162453234195709,0.04337453097105026,0.029971148818731308,0.1140599399805069,0.12628589570522308,0.03825448080897331,0.03828065097332001,0.18413536250591278,0.04440667852759361,0.03697662800550461,0.08445225656032562,0.06751161813735962,0.08390070497989655,0.08575473725795746,0.04231197386980057,0.07820552587509155,0.10958130657672882,0.04684446379542351,0.08431107550859451,0.0798720121383667,0.14163783192634583,0.10929317027330399,0.07220522314310074,0.08455929160118103,0.07896935194730759,0.11229836195707321,0.13945141434669495,0.06059977039694786,0.05451762303709984,0.07067294418811798,0.08944545686244965,0.08390543609857559,0.07334485650062561,0.09827956557273865,0.08477428555488586,0.13377894461154938,0.05284951999783516,0.08723441511392593,0.06889814138412476,0.05238380655646324,0.07194613665342331,0.08117018640041351,0.06089537590742111,0.04958760738372803,0.10671456158161163,0.1237301453948021,0.058429718017578125,0.05695521458983421,0.15465404093265533,0.06063682585954666,0.055394627153873444,0.08241400122642517,0.07445099204778671,0.08256453275680542,0.09630614519119263,0.05824762210249901,0.07949478179216385,0.10487540066242218,0.06261880695819855,0.08457140624523163,0.08207684010267258,0.12575820088386536,0.10821770131587982,0.07486666738986969,0.0983881875872612,0.04493291676044464,0.07264888286590576,0.10914649814367294,0.024912884458899498,0.020212819799780846,0.03372010588645935,0.06445924192667007,0.04523739591240883,0.04018014296889305,0.06055152043700218,0.08142616599798203,0.09864647686481476,0.018498854711651802,0.0463411882519722,0.03551517426967621,0.02021111734211445,0.029784832149744034,0.03990145027637482,0.023091740906238556,0.015837540850043297,0.06602275371551514,0.07289477437734604,0.020781803876161575,0.020877331495285034,0.1032055914402008,0.024366168305277824,0.0198476854711771,0.05059598386287689,0.038730278611183167,0.04989197105169296,0.04786071553826332,0.02274206653237343,0.04515678063035011,0.0636027529835701,0.02577166259288788,0.04989242926239967,0.04673588648438454,0.08456649631261826,0.06269819289445877,0.041433658450841904,0.04738645628094673,0.10060042887926102,0.14057376980781555,0.1755482703447342,0.07739421725273132,0.06879869103431702,0.08948066085577011,0.11496414989233017,0.10598824173212051,0.09150216728448868,0.1238115131855011,0.10601106286048889,0.1687656044960022,0.06656468659639359,0.1090373694896698,0.08603524416685104,0.06678752601146698,0.08980809152126312,0.10240301489830017,0.07705314457416534,0.06268787384033203,0.13348615169525146,0.155488982796669,0.07269280403852463,0.07116870582103729,0.19434645771980286,0.07652054727077484,0.06967803090810776,0.10374874621629715,0.09390158206224442,0.10550018399953842,0.12057502567768097,0.07434592396020889,0.09990070760250092,0.13190457224845886,0.07894812524318695,0.10670376569032669,0.10303772985935211,0.15799234807491302,0.1367272287607193,0.09384351968765259,0.12300420552492142,0.07889789342880249,0.12985707819461823,0.18266446888446808,0.04750394448637962,0.03853892907500267,0.061707980930805206,0.10715649276971817,0.08156415820121765,0.07064066082239151,0.10509908199310303,0.1170075535774231,0.1731753796339035,0.03524494543671608,0.08099429309368134,0.06433986127376556,0.03877711668610573,0.0554809644818306,0.07365182042121887,0.044651199132204056,0.030679477378726006,0.11719372123479843,0.1302543580532074,0.039313655346632004,0.03930864855647087,0.1888929009437561,0.045593973249197006,0.03790200874209404,0.08680801838636398,0.06951904296875,0.08668601512908936,0.08787979185581207,0.043556228280067444,0.08040105551481247,0.11310262978076935,0.04801040515303612,0.08677821606397629,0.08214112371206284,0.14560936391353607,0.11260348558425903,0.07427043467760086,0.08694060891866684,20.819961043286273,21.20924201809523,23.617553659735446,18.5409433830007,18.652410208478305,20.04411343637841,21.507245978589637,20.5350422638122,19.83613143377831,21.54153818217094,22.654565677781935,22.37949733340957,18.774379483086122,20.81216012247873,19.889739893502316,18.145931332182876,19.062571763557123,19.610601971285597,19.179820726906264,17.819146999606854,21.76393335696847,22.48427432735288,18.217038383813403,18.558880826682778,24.39676688431173,18.552347478142075,18.317849598164177,21.51547104191689,19.690060519014917,21.54778948586728,20.358324692594838,18.431418842917882,19.776792163801336,21.217250027267685,18.612762610317564,20.873562624136056,20.690460184187653,21.740423224615387,21.430980500866344,19.681050738530967,20.26123613972864,16.167127497964987
